movie_id,country_id
tt0000574,0
tt0001892,1
tt0001892,2
tt0002101,3
tt0002130,4
tt0002199,3
tt0002423,1
tt0002445,4
tt0002452,5
tt0002461,6
tt0002461,3
tt0002646,2
tt0002844,6
tt0003014,7
tt0003037,6
tt0003131,8
tt0003165,6
tt0003167,3
tt0003419,1
tt0003471,3
tt0003489,4
tt0003637,4
tt0003643,3
tt0003657,3
tt0003740,4
tt0003772,3
tt0003883,6
tt0003930,6
tt0003952,6
tt0003973,3
tt0004026,1
tt0004066,2
tt0004099,3
tt0004134,3
tt0004150,3
tt0004181,3
tt0004457,3
tt0004465,3
tt0004635,3
tt0004681,3
tt0004707,3
tt0004712,9
tt0004766,3
tt0004825,3
tt0004838,3
tt0004872,3
tt0004873,3
tt0004972,3
tt0005060,3
tt0005078,3
tt0005149,3
tt0005339,3
tt0005402,3
tt0005529,2
tt0005557,3
tt0005719,3
tt0005809,3
tt0005916,10
tt0005951,4
tt0005960,3
tt0006206,6
tt0006327,3
tt0006333,3
tt0006509,3
tt0006517,3
tt0006589,3
tt0006617,7
tt0006688,3
tt0006731,3
tt0006736,3
tt0006745,3
tt0006753,3
tt0006780,3
tt0006809,3
tt0006826,3
tt0006864,3
tt0006886,6
tt0007047,3
tt0007183,10
tt0007257,3
tt0007260,3
tt0007309,1
tt0007338,3
tt0007340,3
tt0007361,3
tt0007367,3
tt0007558,3
tt0007610,3
tt0007755,3
tt0007801,3
tt0007983,1
tt0008011,3
tt0008100,2
tt0008150,3
tt0008188,3
tt0008196,3
tt0008309,3
tt0008395,10
tt0008443,3
tt0008489,3
tt0008499,3
tt0008519,3
tt0008536,10
tt0008634,3
tt0008663,7
tt0008672,7
tt0008679,3
tt0008687,3
tt0008710,7
tt0008775,3
tt0008827,3
tt0008843,9
tt0008854,1
tt0008879,7
tt0008891,3
tt0008950,1
tt0009014,6
tt0009062,1
tt0009086,3
tt0009150,3
tt0009241,3
tt0009326,3
tt0009356,3
tt0009369,3
tt0009440,3
tt0009475,3
tt0009559,3
tt0009608,3
tt0009611,3
tt0009652,3
tt0009682,3
tt0009701,6
tt0009796,3
tt0009878,1
tt0009892,3
tt0009893,1
tt0009894,11
tt0009900,12
tt0009915,3
tt0009937,3
tt0009937,13
tt0009968,3
tt0009976,3
tt0010040,3
tt0010060,3
tt0010071,3
tt0010103,3
tt0010137,3
tt0010162,3
tt0010193,3
tt0010195,3
tt0010208,1
tt0010219,3
tt0010227,3
tt0010247,7
tt0010267,3
tt0010281,1
tt0010307,6
tt0010323,1
tt0010418,3
tt0010456,1
tt0010466,3
tt0010484,3
tt0010559,1
tt0010598,2
tt0010600,1
tt0010635,3
tt0010662,3
tt0010680,0
tt0010726,1
tt0010755,7
tt0010806,3
tt0010821,1
tt0010844,3
tt0010853,3
tt0010879,3
tt0010890,3
tt0010925,3
tt0010953,1
tt0010962,1
tt0010969,6
tt0010969,8
tt0011000,2
tt0011130,3
tt0011131,3
tt0011157,7
tt0011173,14
tt0011193,3
tt0011217,1
tt0011217,2
tt0011221,1
tt0011237,1
tt0011267,3
tt0011294,6
tt0011302,6
tt0011317,3
tt0011358,3
tt0011369,1
tt0011370,7
tt0011371,1
tt0011387,3
tt0011414,3
tt0011439,3
tt0011440,14
tt0011474,3
tt0011513,3
tt0011565,3
tt0011588,3
tt0011607,7
tt0011641,1
tt0011647,3
tt0011652,3
tt0011679,3
tt0011716,3
tt0011723,1
tt0011741,3
tt0011742,1
tt0011753,3
tt0011779,3
tt0011833,1
tt0011837,1
tt0011841,3
tt0011865,3
tt0011870,3
tt0011904,3
tt0011909,3
tt0011948,3
tt0011960,1
tt0011979,3
tt0012016,3
tt0012027,3
tt0012068,3
tt0012122,3
tt0012125,3
tt0012134,6
tt0012136,3
tt0012187,3
tt0012190,3
tt0012249,1
tt0012281,1
tt0012313,1
tt0012314,1
tt0012334,7
tt0012349,3
tt0012364,7
tt0012382,3
tt0012397,3
tt0012408,3
tt0012465,3
tt0012486,3
tt0012494,1
tt0012513,3
tt0012532,3
tt0012538,3
tt0012631,15
tt0012642,3
tt0012645,1
tt0012650,1
tt0012651,1
tt0012675,3
tt0012745,6
tt0012752,3
tt0012755,3
tt0012763,3
tt0012769,3
tt0012806,1
tt0012928,3
tt0012938,3
tt0012952,3
tt0012973,1
tt0012975,3
tt0013033,6
tt0013033,8
tt0013059,2
tt0013075,3
tt0013085,3
tt0013086,1
tt0013122,6
tt0013134,3
tt0013140,3
tt0013169,1
tt0013201,3
tt0013223,3
tt0013332,3
tt0013367,3
tt0013372,3
tt0013386,3
tt0013402,3
tt0013404,3
tt0013428,1
tt0013442,1
tt0013450,3
tt0013469,1
tt0013496,1
tt0013515,3
tt0013556,3
tt0013571,3
tt0013579,1
tt0013592,3
tt0013597,3
tt0013607,3
tt0013619,1
tt0013619,13
tt0013626,6
tt0013662,3
tt0013674,3
tt0013688,3
tt0013704,3
tt0013705,16
tt0013741,1
tt0013750,3
tt0013802,3
tt0013830,1
tt0013909,3
tt0013933,6
tt0013951,3
tt0014029,3
tt0014108,7
tt0014109,7
tt0014112,3
tt0014142,3
tt0014205,3
tt0014341,3
tt0014358,3
tt0014397,1
tt0014416,3
tt0014417,6
tt0014429,3
tt0014440,3
tt0014446,1
tt0014463,3
tt0014497,3
tt0014516,1
tt0014524,1
tt0014532,3
tt0014538,3
tt0014586,1
tt0014604,3
tt0014605,3
tt0014606,3
tt0014611,3
tt0014624,3
tt0014636,3
tt0014646,17
tt0014672,3
tt0014702,3
tt0014721,3
tt0014760,3
tt0014770,3
tt0014854,3
tt0014869,3
tt0014874,3
tt0014898,6
tt0014900,1
tt0014925,3
tt0014945,3
tt0014972,3
tt0014982,3
tt0015002,3
tt0015014,6
tt0015016,3
tt0015018,3
tt0015022,3
tt0015036,6
tt0015064,1
tt0015116,3
tt0015119,3
tt0015136,1
tt0015145,3
tt0015163,3
tt0015167,17
tt0015174,1
tt0015175,1
tt0015202,13
tt0015202,1
tt0015213,17
tt0015224,3
tt0015268,3
tt0015289,3
tt0015310,3
tt0015312,3
tt0015324,3
tt0015361,17
tt0015400,3
tt0015493,16
tt0015498,3
tt0015500,3
tt0015518,3
tt0015532,1
tt0015624,3
tt0015634,3
tt0015643,3
tt0015648,17
tt0015684,3
tt0015687,3
tt0015693,3
tt0015758,3
tt0015768,2
tt0015772,3
tt0015794,6
tt0015801,6
tt0015841,3
tt0015842,1
tt0015861,14
tt0015861,7
tt0015863,3
tt0015864,3
tt0015872,3
tt0015881,3
tt0015883,6
tt0015909,3
tt0015935,18
tt0016004,3
tt0016005,3
tt0016006,3
tt0016013,3
tt0016023,3
tt0016028,3
tt0016029,3
tt0016039,3
tt0016104,3
tt0016123,3
tt0016185,15
tt0016201,3
tt0016205,3
tt0016220,3
tt0016226,3
tt0016230,16
tt0016230,1
tt0016232,6
tt0016240,19
tt0016240,1
tt0016241,3
tt0016258,3
tt0016276,3
tt0016288,3
tt0016294,3
tt0016308,3
tt0016309,3
tt0016310,3
tt0016332,3
tt0016338,16
tt0016338,1
tt0016377,3
tt0016392,13
tt0016394,3
tt0016395,3
tt0016461,3
tt0016473,3
tt0016480,3
tt0016481,1
tt0016491,6
tt0016491,20
tt0016493,6
tt0016544,3
tt0016545,3
tt0016548,3
tt0016559,17
tt0016560,3
tt0016563,1
tt0016627,3
tt0016629,3
tt0016630,3
tt0016634,3
tt0016640,3
tt0016641,3
tt0016643,3
tt0016646,3
tt0016654,3
tt0016655,3
tt0016664,3
tt0016669,3
tt0016672,3
tt0016690,3
tt0016691,14
tt0016762,3
tt0016804,3
tt0016822,3
tt0016827,3
tt0016832,3
tt0016847,1
tt0016854,3
tt0016871,3
tt0016884,3
tt0016895,3
tt0016914,1
tt0016939,3
tt0016947,3
tt0016953,1
tt0016971,3
tt0017004,3
tt0017028,3
tt0017029,3
tt0017048,15
tt0017075,16
tt0017082,3
tt0017096,4
tt0017103,3
tt0017119,3
tt0017120,3
tt0017128,17
tt0017136,1
tt0017159,17
tt0017195,17
tt0017196,6
tt0017198,16
tt0017226,3
tt0017271,17
tt0017293,17
tt0017329,3
tt0017338,13
tt0017350,3
tt0017354,3
tt0017374,3
tt0017378,17
tt0017382,3
tt0017409,3
tt0017410,3
tt0017416,3
tt0017419,3
tt0017423,3
tt0017437,3
tt0017438,1
